"Mean_Minor","Mean_Round","SD_Round","Mean_variance_R","SD_median_R","SD_inertia_R","Mean_kurtosis_G","SD_variance_G","SD_kurtosis_G","SD_HGLRE_G","SD_SRHGLE_G","SD_LRHGLE_G","Mean_IDM_B","SD_entropy_B","SD_haraCorr_B","SD_IDM_B","SD_IDM_HSV","Mean_GLN_Lab","Mean_LGLRE_Lab","Mean_SRLGLE_Lab","Mean_LRLGLE_Lab","Mean_GLN_Luv","Mean_LGLRE_Luv","Mean_SRLGLE_Luv","Mean_LRLGLE_Luv","Mean_GLN_HE","Mean_skewness_BR","Mean_correlation_BR","Class"
18.14623077,0.622156142,0.160774157,788.4148923,24.16386719,165.8226525,0.082797095,364.3808663,0.81222764,2423.052319,2423.052319,2423.052319,0.091889584,0.40434711,30169879.67,0.014644734,0.015041596,7.122204053,0.001208986,0.001208986,0.001208986,7.122204053,0.001208986,0.001208986,0.001208986,8.279554948,0.018289116,5.1e-07,"UDH"
20.29383016,0.664048527,0.145555446,1005.471759,20.48575298,109.8529719,-0.402935112,231.6536677,0.602838445,1658.470096,1658.470096,1658.470096,0.100458037,0.504691688,31498150.35,0.014458203,0.014914489,7.417099184,0.001235888,0.001235888,0.001235888,7.417099184,0.001235888,0.001235888,0.001235888,10.07551668,1.374860486,1.63e-05,"UDH"
20.43579657,0.694836765,0.142838239,830.5925292,22.22359745,125.5151694,-0.26121666,276.2246345,0.61085553,2171.725036,2171.725036,2171.725036,0.099845567,0.480285206,34776717.76,0.014739447,0.015252442,7.913689656,0.001102159,0.001102159,0.001102159,7.913689656,0.001102159,0.001102159,0.001102159,10.26622853,0.930131187,1.29e-05,"UDH"
24.77910867,0.684940724,0.156426048,646.1222969,30.59464295,116.7484603,-0.206114974,275.0442471,0.517133565,2730.1709,2730.1709,2730.1709,0.102745868,0.55026498,32250291.45,0.017696479,0.01822009,11.79454254,0.001263498,0.001263498,0.001263498,11.79454254,0.001263498,0.001263498,0.001263498,16.96652044,0.094970759,5.38e-07,"DCIS"
21.849718,0.673943,0.15115482,874.1828662,27.51119651,431.8402348,-0.129249221,386.2072386,0.592241411,3021.764204,3021.764204,3021.764204,0.079126946,0.556068267,38240387.99,0.014360254,0.01439343,8.416368636,0.001134072,0.001134072,0.001134072,8.416368636,0.001134072,0.001134072,0.001134072,11.40945463,0.132846279,2.53e-06,"DCIS"
21.31341941,0.623067434,0.172899158,925.0715896,24.47688516,181.7463253,-0.404562451,386.6192481,0.499291292,3199.479186,3199.479186,3199.479186,0.080825078,0.642484216,47062868.61,0.01889839,0.018801485,8.394627648,0.001182421,0.001182421,0.001182421,8.394627648,0.001182421,0.001182421,0.001182421,10.92779859,0.066389441,1.48e-06,"DCIS"
23.05522067,0.652465849,0.168115009,722.4746175,24.83041042,108.966352,-0.026718536,206.8265068,0.820720668,1582.511706,1582.511706,1582.511706,0.101574241,0.479017963,24376102.96,0.014600492,0.014641533,11.14182343,0.001980214,0.001980214,0.001980214,11.14182343,0.001980214,0.001980214,0.001980214,14.03913646,0.053125184,2.02e-07,"DCIS"
22.80572059,0.63780719,0.165275128,841.6605424,30.49634906,175.4434248,-0.126212712,322.6437081,0.603267915,2808.747138,2808.747138,2808.747138,0.088208381,0.506390717,37006271.54,0.013668962,0.01362031,10.19766128,0.00154374,0.00154374,0.00154374,10.19766128,0.00154374,0.00154374,0.00154374,12.43746483,0.093446841,7.97e-07,"DCIS"
20.96104265,0.65912009,0.161513551,802.8747483,21.0592638,161.3283939,-0.198907056,233.2627158,0.529065083,2164.42087,2164.42087,2164.42087,0.088492098,0.484011353,28466127.57,0.013554264,0.014163269,8.857637177,0.001282477,0.001282477,0.001282477,8.857637177,0.001282477,0.001282477,0.001282477,10.7419792,0.314908695,1.8e-06,"DCIS"
20.99006176,0.645973529,0.164816895,685.6969983,25.76936366,149.7400735,-0.100899982,308.8965689,0.726249133,3064.144519,3064.144519,3064.144519,0.091376732,0.577897535,45571646.02,0.017301782,0.017880578,9.772763291,0.001011335,0.001011335,0.001011335,9.772763291,0.001011335,0.001011335,0.001011335,13.05257164,0.249371717,5.8e-06,"DCIS"
21.70902534,0.648321637,0.160689177,712.2439201,23.75090366,120.6598578,-0.346420652,253.5519815,0.540930997,1726.380837,1726.380837,1726.380837,0.098744729,0.671209209,44860036.28,0.01865325,0.019097119,10.00322205,0.001760241,0.001760241,0.001760241,10.00322205,0.001760241,0.001760241,0.001760241,12.90237049,1.088111719,1.79e-05,"DCIS"
23.89026892,0.687390438,0.156216541,899.6930998,22.09708758,128.5424864,-0.178791664,249.8553374,0.549516621,1671.693291,1671.693291,1671.693291,0.08273612,0.525013396,37017126.23,0.013566124,0.014292509,9.429915669,0.001585183,0.001585183,0.001585183,9.429915669,0.001585183,0.001585183,0.001585183,11.38284739,0.670611006,1.12e-05,"DCIS"
23.2094878,0.61351626,0.175844974,843.6331166,26.15258267,149.3595178,-0.267693748,355.2336637,0.540072615,3413.501873,3413.501873,3413.501873,0.08691911,0.597043285,46073318.71,0.015038244,0.015045209,10.5941387,0.001482147,0.001482147,0.001482147,10.5941387,0.001482147,0.001482147,0.001482147,14.78311837,0.103109987,2.19e-06,"DCIS"
21.15613624,0.627594005,0.173343672,1065.447232,28.55561023,201.3338839,-0.219051614,429.4429211,0.693231918,3852.321944,3852.321944,3852.321944,0.087966801,0.547481256,41307499.56,0.014037907,0.014866103,8.700987145,0.001729592,0.001729592,0.001729592,8.700987145,0.001729592,0.001729592,0.001729592,10.43378967,0.036986967,8.01e-07,"DCIS"
